winner,length,reason,win_type,mid_leader,Minimax_avg_time,ML2_avg_time,Minimax_avg_mem,ML2_avg_mem,nodes,depth,branching,Agent 1,Agent 2
0,17,win,horizontal,,1.0132475694020588,6.898513436317444,4.716145833333333,5.3046875,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,1.035614596472846,0.0060749053955078125,0.003472222222222222,0.00390625,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,1.0088202953338623,0.0038893818855285645,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,1.0345196459028456,0.003940582275390625,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9798514048258463,0.00373038649559021,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9631026056077745,0.003873884677886963,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9865735636817085,0.003918975591659546,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,1.005422830581665,0.0040159523487091064,-0.006944444444444444,-0.00634765625,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9530787732866075,0.0038991570472717285,-0.02734375,-0.02734375,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,1.0065704716576471,0.0039899349212646484,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9556571377648247,0.003778010606765747,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,1.0019791391160753,6.9683636128902435,4.595052083333333,5.16796875,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,1.0730214913686116,0.0038934051990509033,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,1.0011311637030706,0.004506707191467285,0.003472222222222222,0.00390625,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,1.0595828692118328,0.005175858736038208,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,1.0019486215379503,0.0060922205448150635,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9955484337276883,0.004581093788146973,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,1.0128801663716633,0.006165951490402222,-0.0013020833333333333,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,1.0067394309573703,0.005544304847717285,-0.001736111111111111,0.0009765625,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.984704229566786,0.0037100911140441895,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9896478123135037,0.0037658512592315674,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9671371512942843,0.003927052021026611,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9977236058976915,6.908868461847305,4.574652777777778,5.14501953125,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,1.0214587317572699,0.00668296217918396,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9796208805508084,0.00400128960609436,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,1.0115273528628879,0.005342453718185425,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.995570527182685,0.003695189952850342,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9706123405032687,0.0037810206413269043,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9789219697316488,0.004057556390762329,0.003472222222222222,0.00390625,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,1.0142805046505399,0.004204541444778442,-0.010416666666666666,-0.01025390625,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9684718979729546,0.0038279592990875244,-0.03125,-0.03125,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9852782355414497,0.003932356834411621,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9367922147115072,0.0037575364112854004,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9994620217217339,6.918247580528259,4.687934027777778,5.2626953125,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,1.0220468044281006,0.016638070344924927,0.02734375,0.02685546875,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9976589149898953,0.00407487154006958,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,1.0590884155697293,0.003913760185241699,0.011284722222222222,0.01123046875,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9806339740753174,0.0037620365619659424,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9837268458472358,0.007588893175125122,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9897965855068631,0.0038594305515289307,0.0,0.0,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9719419744279649,0.00377693772315979,-0.006944444444444444,-0.0068359375,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9681715435451932,0.003793567419052124,-0.02734375,-0.02734375,18166,4,6.645106242430915,Minimax,ML2
0,17,win,horizontal,,0.9811928007337782,0.003926128149032593,0.003472222222222222,0.00390625,18166,4,6.645106242430915,Minimax,ML2
